Offensive Rank,G,W-L,Total Offense YPG,Season,Defensive Rank,Total Defense YPG,Rushing Rank,Rush YPG,Rushing Defensive Rank,Opp Rush YPG,Passing Rank,Pass YPG,Conference,Teams,Win %,MOV,ATS +/-
100,12,3-9,350.1,2024,121,449.2,129,89.0,116,197.0,36,261.1,CUSA,Middle Tenn,25.0,-16.2,-7.3
107,13,8-5,337.8,2024,5,285.7,109,115.6,12,109.6,76,222.2,Big Ten,Minnesota,61.5,9.2,6.4
63,13,10-3,389.5,2024,17,317.5,64,164.5,45,136.2,71,225.1,SEC,Missouri,76.9,8.5,-1.1
83,13,10-3,371.3,2024,65,368.9,6,247.5,78,156.1,131,123.8,The American,Navy,76.9,9.2,5.2
76,13,6-7,377.8,2024,88,390.8,83,145.2,79,157.0,58,232.6,ACC,Nc State,46.2,-1.6,-4.5
94,13,7-6,359.0,2024,18,317.9,96,130.6,8,101.2,65,228.4,Big Ten,Nebraska,53.9,4.1,-0.6
79,13,3-10,376.1,2024,90,391.5,66,163.5,113,192.8,84,212.6,Mountain West,Nevada,23.1,-5.7,1.5
4,12,5-7,484.3,2024,130,492.1,2,253.6,125,212.9,61,230.7,Mountain West,New Mexico,41.7,-4.5,0.7
3,13,6-7,488.8,2024,127,460.5,69,160.6,115,195.9,4,328.2,The American,North Texas,46.2,-0.6,-0.4
130,12,4-8,284.4,2024,56,361.8,122,98.5,37,129.9,111,185.9,Big Ten,Northwestern,33.3,-8.5,-1.8
55,16,14-2,399.1,2024,11,307.4,19,200.9,49,138.1,101,198.1,FBS Independent,Notre Dame,87.5,20.6,9.3
50,14,11-3,405.6,2024,9,303.1,12,213.1,4,90.6,104,192.4,MAC,Ohio,78.6,11.1,7.6
30,16,14-2,429.4,2024,1,254.6,58,166.4,3,87.6,29,263.0,Big Ten,Ohio St,87.5,22.8,3.0
113,13,6-7,331.0,2024,19,318.2,76,155.2,24,115.1,119,175.8,SEC,Oklahoma,46.2,2.5,-2.2
80,12,3-9,374.0,2024,132,500.6,114,111.8,128,215.0,30,262.3,Big 12,Oklahoma St,25.0,-8.4,-7.3
54,12,5-7,402.7,2024,102,410.4,14,209.8,97,172.6,103,192.9,Sun Belt,Old Dominion,41.7,0.0,4.5
22,14,13-1,437.4,2024,15,315.9,72,157.9,38,130.0,13,279.5,Big Ten,Oregon,92.9,15.4,-2.3
60,12,5-7,390.6,2024,98,399.9,29,189.2,107,185.8,94,201.4,FBS Independent,Oregon St,41.7,-5.7,-4.8
26,16,13-3,430.2,2024,7,294.8,17,202.3,9,101.9,66,227.9,Big Ten,Penn St,81.3,16.6,1.3
44,13,7-6,408.7,2024,81,378.2,85,141.8,19,112.8,24,266.9,ACC,Pittsburgh,53.9,4.5,1.2
127,12,1-11,299.3,2024,123,452.7,110,115.3,119,200.0,113,183.9,Big Ten,Purdue,8.3,-24.2,-11.2
97,12,4-8,352.9,2024,35,334.4,113,113.9,84,160.6,51,239.0,The American,Rice,33.3,-3.3,-1.7
71,13,7-6,382.7,2024,95,393.8,45,175.3,89,162.8,92,207.4,Big Ten,Rutgers,53.9,3.5,1.3
109,12,3-9,334.6,2024,114,421.3,99,128.9,121,207.3,93,205.7,Mountain West,San Diego St,25.0,-8.3,-2.8
