Offensive Rank,G,W-L,Total Offense YPG,Season,Defensive Rank,Total Defense YPG,Rushing Rank,Rush YPG,Rushing Defensive Rank,Opp Rush YPG,Passing Rank,Pass YPG,Team,Conference
129,13,8-5,286.2,2024,10,307.0,73,157.2,5,90.7,130,129.1,Michigan ,Big Ten
110,12,5-7,333.4,2024,34,332.0,110,115.3,32,125.1,79,218.1,Michigan St. ,Big Ten
100,12,3-9,350.1,2024,121,449.2,129,89.0,116,197.0,36,261.1,Middle Tenn. ,CUSA
107,13,8-5,337.8,2024,5,285.7,109,115.6,12,109.6,76,222.2,Minnesota ,Big Ten
78,12,2-10,377.2,2024,125,456.4,87,137.9,129,216.9,50,239.3,Mississippi St. ,SEC
63,13,10-3,389.5,2024,17,317.5,64,164.5,45,136.2,71,225.1,Missouri ,SEC
76,13,6-7,377.8,2024,88,390.8,83,145.2,79,157.0,58,232.6,NC State ,ACC
72,13,8-5,382.2,2024,4,284.6,16,203.8,17,112.2,118,178.5,NIU ,MAC
83,13,10-3,371.3,2024,65,368.9,6,247.5,78,156.1,131,123.8,Navy ,The American
94,13,7-6,359.0,2024,18,317.9,96,130.6,8,101.2,65,228.4,Nebraska ,Big Ten
79,13,3-10,376.1,2024,90,391.5,66,163.5,113,192.8,84,212.6,Nevada ,Mountain West
4,12,5-7,484.3,2024,130,492.1,2,253.6,125,212.9,61,230.7,New Mexico ,Mountain West
121,12,3-9,323.2,2024,120,446.8,40,180.0,114,195.3,127,143.2,New Mexico St. ,CUSA
48,13,6-7,406.7,2024,72,375.8,38,182.3,66,149.5,72,224.4,North Carolina ,ACC
3,13,6-7,488.8,2024,127,460.5,69,160.6,115,195.9,4,328.2,North Texas ,The American
130,12,4-8,284.4,2024,56,361.8,122,98.5,37,129.9,111,185.9,Northwestern ,Big Ten
55,16,14-2,399.1,2024,11,307.4,19,200.9,49,138.1,101,198.1,Notre Dame ,FBS Independent
50,14,11-3,405.6,2024,9,303.1,12,213.1,4,90.6,104,192.4,Ohio ,MAC
30,16,14-2,429.4,2024,1,254.6,58,166.4,3,87.6,29,263.0,Ohio St. ,Big Ten
113,13,6-7,331.0,2024,19,318.2,76,155.2,24,115.1,119,175.8,Oklahoma ,SEC
80,12,3-9,374.0,2024,132,500.6,114,111.8,128,215.0,30,262.3,Oklahoma St. ,Big 12
54,12,5-7,402.7,2024,102,410.4,14,209.8,97,172.6,103,192.9,Old Dominion ,Sun Belt
2,13,10-3,526.5,2024,14,311.2,44,175.7,2,80.5,2,350.8,Ole Miss ,SEC
22,14,13-1,437.4,2024,15,315.9,72,157.9,38,130.0,13,279.5,Oregon ,Big Ten
