Team,W-L,Win %,MOV,ATS +/-,Season
Florida Intl,1-11,8.3,-19.3,-12.2,2021
Florida Intl,4-8,33.3,-11.8,-4.2,2023
Florida Intl,4-8,33.3,0.6,2.4,2024
Florida Intl,4-8,33.3,-18.6,-3.7,2022
Florida St,5-7,41.7,1.1,-0.5,2021
Florida St,2-10,16.7,-12.6,-10.8,2024
Florida St,10-3,76.9,15.5,4.7,2022
Florida St,13-1,92.9,15.3,1.0,2023
Fresno St,10-4,71.4,11.1,1.6,2022
Fresno St,6-7,46.2,1.2,-2.5,2024
Fresno St,10-3,76.9,12.8,2.9,2021
Fresno St,9-4,69.2,7.0,-2.8,2023
GA Southern,3-9,25.0,-11.2,-3.5,2021
GA Southern,8-5,61.5,0.4,2.5,2024
GA Southern,6-7,46.2,-0.3,-3.3,2023
GA Southern,6-7,46.2,1.1,3.1,2022
GA Tech,7-6,53.9,1.6,3.8,2023
GA Tech,5-7,41.7,-11.3,0.7,2022
GA Tech,3-9,25.0,-9.5,-3.6,2021
GA Tech,7-6,53.9,3.3,1.7,2024
Georgia,13-1,92.9,24.5,1.5,2023
Georgia,14-1,93.3,28.4,7.3,2021
Georgia,15-0,100.0,26.8,1.6,2022
Georgia,11-3,78.6,10.9,-4.7,2024
Georgia St,8-5,61.5,1.1,2.9,2021
Georgia St,3-9,25.0,-10.0,-4.3,2024
Georgia St,4-8,33.3,-1.2,0.5,2022
Georgia St,7-6,53.9,-2.8,-1.4,2023
Hawaii,5-8,38.5,-10.8,-2.1,2023
Hawaii,5-7,41.7,-3.7,-0.9,2024
Hawaii,6-7,46.2,-2.6,-0.7,2021
Hawaii,3-10,23.1,-14.9,-0.5,2022
Houston,8-5,61.5,3.9,-2.1,2022
Houston,4-8,33.3,-8.9,-0.9,2024
Houston,4-8,33.3,-7.8,-2.4,2023
Houston,12-2,85.7,15.4,4.1,2021
Illinois,10-3,76.9,6.6,6.1,2024
Illinois,5-7,41.7,-1.8,4.8,2021
Illinois,5-7,41.7,-4.9,-4.9,2023
Illinois,8-5,61.5,11.5,7.3,2022
Indiana,11-2,84.6,25.7,12.8,2024
Indiana,2-10,16.7,-16.0,-12.1,2021
Indiana,3-9,25.0,-7.8,-0.1,2023
Indiana,4-8,33.3,-10.7,-2.0,2022
Iowa,8-5,61.5,9.8,4.1,2024
Iowa,10-4,71.4,4.2,-0.8,2021
Iowa,10-4,71.4,0.6,-1.5,2023
Iowa,8-5,61.5,4.4,2.7,2022
Iowa St,7-6,53.9,10.8,-1.3,2021
Iowa St,11-3,78.6,8.1,-0.5,2024
Iowa St,4-8,33.3,-0.1,-3.5,2022
Iowa St,7-6,53.9,3.5,4.5,2023
James Mad,9-4,69.2,12.8,1.7,2024
James Mad,11-2,84.6,14.6,4.7,2023
James Mad,8-3,72.7,16.1,5.0,2022
Jksnville St,0-1,0.0,-37.0,-24.5,2022
Jksnville St,1-1,50.0,-14.0,8.3,2021
Jksnville St,9-5,64.3,9.9,5.2,2024
Jksnville St,9-4,69.2,9.0,8.1,2023
Kansas,6-7,46.2,0.2,3.2,2022
Kansas,9-4,69.2,8.2,3.6,2023
Kansas,5-7,41.7,3.7,-0.6,2024
Kansas,2-10,16.7,-21.4,0.3,2021
Kansas St,10-4,71.4,10.4,7.0,2022
Kansas St,8-5,61.5,6.5,3.7,2021
Kansas St,9-4,69.2,7.5,-1.5,2024
Kansas St,9-4,69.2,16.1,6.6,2023
Kennesaw St,2-10,16.7,-14.7,0.2,2024
Kennesaw St,0-1,0.0,-53.0,-24.5,2022
Kennesaw St,0-1,0.0,-3.0,13.0,2023
Kennesaw St,0-1,0.0,-28.0,-8.0,2021
Kent St,5-7,41.7,-0.6,1.3,2022
Kent St,0-12,0.0,-30.2,-9.4,2024
Kent St,7-7,50.0,-3.3,-2.6,2021
Kent St,1-11,8.3,-19.9,-5.2,2023
Kentucky,7-6,53.9,3.2,-1.7,2023
Kentucky,4-8,33.3,-1.5,-4.5,2024
Kentucky,7-6,53.9,1.2,-2.2,2022
Kentucky,10-3,76.9,10.6,2.8,2021
LA Tech,3-9,25.0,-8.9,-0.9,2022
LA Tech,5-8,38.5,-0.1,3.3,2024
LA Tech,3-9,25.0,-6.0,-5.0,2021
LA Tech,3-9,25.0,-7.5,-5.6,2023
LSU,6-7,46.2,-0.1,-1.7,2021
LSU,10-3,76.9,17.5,1.9,2023
LSU,10-4,71.4,12.0,5.4,2022
LSU,9-4,69.2,6.2,-2.1,2024
Liberty,13-1,92.9,14.0,3.9,2023
Liberty,8-5,61.5,12.1,-2.2,2021
Liberty,8-5,61.5,2.9,-3.2,2022
Liberty,8-4,66.7,5.3,-8.8,2024
Louisiana,6-7,46.2,3.3,2.6,2022
Louisiana,6-7,46.2,3.5,0.3,2023
Louisiana,10-4,71.4,6.8,-0.9,2024
Louisiana,13-1,92.9,12.6,2.9,2021
Louisville,9-4,69.2,12.4,4.0,2024
Louisville,6-7,46.2,4.3,2.2,2021
Louisville,10-4,71.4,9.4,0.4,2023
Louisville,8-5,61.5,7.8,5.8,2022
Marshall,9-4,69.2,8.5,0.7,2022
Marshall,7-6,53.9,9.2,-0.8,2021
Marshall,10-3,76.9,8.8,8.4,2024
Marshall,6-7,46.2,-5.9,-7.0,2023
Maryland,8-5,61.5,5.0,1.6,2022
Maryland,4-8,33.3,-6.8,-5.6,2024
Maryland,8-5,61.5,7.2,0.7,2023
Maryland,7-6,53.9,-1.4,-1.7,2021
Memphis,10-3,76.9,10.6,2.7,2023
Memphis,7-6,53.9,9.3,4.3,2022
Memphis,6-6,50.0,0.8,-2.7,2021
Memphis,11-2,84.6,11.8,0.8,2024
Miami,7-5,58.3,5.7,0.3,2021
Miami,5-7,41.7,-3.2,-10.7,2022
Miami,7-6,53.9,8.7,-0.4,2023
Miami,10-3,76.9,18.6,1.2,2024
Miami (OH),9-5,64.3,5.3,2.5,2024
Miami (OH),11-3,78.6,9.7,6.1,2023
Miami (OH),7-6,53.9,5.8,2.7,2021
Miami (OH),6-7,46.2,-2.4,-1.4,2022
Michigan,8-5,61.5,2.1,2.4,2024
Michigan,15-0,100.0,25.5,4.3,2023
Michigan,13-1,92.9,24.4,2.9,2022
Michigan,12-2,85.7,18.4,8.8,2021
Michigan St,4-8,33.3,-12.4,-5.3,2023
Michigan St,11-2,84.6,6.5,4.3,2021
Michigan St,5-7,41.7,-3.0,-0.8,2022
Michigan St,5-7,41.7,-6.8,-6.2,2024
Middle Tenn,8-5,61.5,1.2,3.4,2022
Middle Tenn,7-6,53.9,4.2,7.8,2021
Middle Tenn,4-8,33.3,-3.8,-2.3,2023
Middle Tenn,3-9,25.0,-16.2,-7.3,2024
Minnesota,9-4,69.2,14.4,1.2,2022
Minnesota,6-7,46.2,-5.8,-5.9,2023
Minnesota,9-4,69.2,8.2,4.0,2021
Minnesota,8-5,61.5,9.2,6.4,2024
Miss State,7-6,53.9,3.2,-1.7,2021
Miss State,2-10,16.7,-8.3,1.4,2024
Miss State,9-4,69.2,8.5,1.3,2022
Miss State,5-7,41.7,-4.8,-5.0,2023
Mississippi,11-2,84.6,12.5,2.5,2023
Mississippi,10-3,76.9,24.2,4.5,2024
Mississippi,10-3,76.9,9.0,1.4,2021
