Offensive Rank,Team,G,Offense TDs,Total Offense YPG,Season,Rushing Rank,Rushing TDs,Rush YPG,Passing Rank,Int,Passing TDs,Pass YPG,Defensive Rank,Opp TDs,Total Defense YPG,Rushing Defensive Rank,Opp Rush TDs,Opp Rush YPG,Passing Defensive Rank,Opp Pass TDs,Opp Pass YPG,TM Rank,Fumbles Recovered,Fumbles Lost,Turnover Margin,PPG Rank,Penalties,Penalties Per Game,Penalty YPG Rank,Penalty YPG,TOP Rank,Avg Time of Possession,ATP Rank,Conference,Wins,Losses
126,ULM ,12,28,304.4,2024,51,17,169.7,128,12,11,134.8,84,43,384.0,120,27,200.1,22,15,183.9,68,8,3,-1,70,71,5.92,23,43.25,46,30:47,,Sun Belt,5,7
127,Purdue ,12,22,299.3,2024,110,9,115.3,113,9,13,183.9,123,64,452.7,119,33,200.0,116,27,252.7,130,1,10,-14,49,66,5.50,74,51.83,127,26:51,,Big Ten,1,11
128,Houston ,12,18,288.1,2024,90,9,135.4,126,17,9,152.7,25,34,324.8,44,14,135.9,28,18,188.8,114,7,10,-8,49,66,5.50,75,51.92,72,29:55,,Big 12,4,8
129,Michigan ,13,30,286.2,2024,73,18,157.2,130,13,12,129.1,10,29,307.0,5,10,90.7,63,19,216.3,73,6,7,-2,5,52,4.00,14,39.54,20,31:54,,Big Ten,8,5
130,Northwestern ,12,19,284.4,2024,122,12,98.5,111,11,7,185.9,56,38,361.8,37,22,129.9,89,15,231.8,78,6,7,-2,16,57,4.75,11,38.25,81,29:33,,Big Ten,4,8
131,Southern Miss. ,12,20,283.5,2024,118,13,108.6,120,17,7,174.9,121,58,449.2,132,31,232.7,64,24,216.5,133,4,12,-19,74,72,6.00,48,48.25,118,27:23,,Sun Belt,1,11
132,Florida St. ,12,19,270.3,2024,128,8,89.9,116,13,11,180.3,86,40,385.9,106,21,184.7,41,16,201.3,131,2,9,-16,55,67,5.58,45,47.92,121,27:11,,ACC,2,10
133,Kent St. ,12,21,233.3,2024,132,3,76.9,125,13,18,156.3,133,66,516.0,133,36,264.9,113,27,251.1,119,7,7,-9,19,59,4.92,7,35.75,124,27:00,,MAC,0,12
1,LSU ,13,78,543.5,2023,10,34,204.5,3,5,44,338.9,105,47,416.6,85,24,161.0,115,23,255.6,23,4,3,6,71,79,6.08,67,51.69,94,28:51,,SEC,10,3
2,Oregon ,14,82,531.4,2023,29,33,184.5,1,5,49,346.9,22,27,318.4,10,10,102.6,54,16,215.9,9,6,2,11,98,93,6.64,106,60.57,41,31:03,,Pac-12,12,2
3,Oklahoma ,13,66,507.0,2023,34,32,182.2,6,9,34,324.8,77,35,389.4,42,14,138.6,109,18,250.8,23,6,11,6,104,88,6.77,97,58.46,89,29:04,,Big 12,10,3
4,Liberty ,14,71,499.1,2023,1,39,293.3,88,6,32,205.9,58,45,372.6,24,13,116.7,116,31,255.9,21,4,12,7,84,88,6.29,117,62.50,8,33:04,,CUSA,13,1
5,Georgia ,14,69,496.5,2023,20,40,191.2,11,7,29,305.3,9,26,289.1,18,13,113.6,9,13,175.4,43,3,7,3,12,62,4.43,29,43.29,2,33:28,,SEC,13,1
6,North Texas ,12,52,495.8,2023,21,19,191.2,12,9,33,304.7,130,60,476.4,130,37,255.2,63,22,221.3,101,4,10,-5,20,57,4.75,46,46.58,82,29:12,,AAC,5,7
7,North Carolina ,13,54,491.2,2023,19,28,192.1,14,11,26,299.2,94,43,404.4,90,21,163.2,94,20,241.2,30,10,6,5,114,93,7.15,121,66.31,102,28:37,,ACC,8,5
8,UCF ,13,52,487.0,2023,4,28,228.2,41,11,24,258.8,81,40,391.0,122,26,194.3,25,12,196.7,78,4,7,-2,71,79,6.08,60,50.08,93,28:53,,Big 12,6,7
9,Texas ,14,54,477.5,2023,24,29,188.4,17,9,25,289.1,34,30,336.7,3,9,82.4,113,21,254.4,29,8,9,6,95,92,6.57,70,52.21,36,31:13,,Big 12,12,2
10,Southern California ,13,70,467.6,2023,91,33,134.6,5,6,37,333.0,116,59,432.8,116,25,186.5,101,31,246.4,71,9,11,-1,124,98,7.54,123,68.38,117,27:40,,Pac-12,8,5
11,TCU ,12,46,466.7,2023,70,19,154.5,7,15,27,312.2,100,39,408.3,75,21,154.7,110,16,253.7,117,4,4,-7,79,74,6.17,73,53.58,122,27:20,,Big 12,5,7
12,Washington ,15,66,462.1,2023,104,28,118.4,2,12,38,343.7,96,48,406.7,58,25,148.1,117,23,258.6,66,4,8,0,123,112,7.47,124,68.60,63,30:08,,Pac-12,14,1
13,Ole Miss ,13,55,461.9,2023,39,29,176.3,19,6,26,285.6,68,37,382.2,71,19,152.8,75,17,229.5,5,5,1,11,118,94,7.23,100,59.08,116,27:44,,SEC,11,2
14,Memphis ,13,64,458.5,2023,75,31,152.0,10,10,33,306.5,111,48,423.2,77,21,155.2,121,25,268.0,30,9,5,5,9,53,4.08,17,41.23,39,31:08,,AAC,10,3
15,Texas St. ,13,57,457.6,2023,26,33,186.7,28,9,24,270.9,91,56,397.6,69,26,151.3,100,24,246.3,71,11,14,-1,119,95,7.31,125,69.23,83,29:11,,Sun Belt,8,5
16,SMU ,14,62,454.3,2023,40,29,175.9,22,8,33,278.4,12,32,304.1,28,14,121.9,13,17,182.2,43,5,6,3,18,65,4.64,16,41.21,64,30:06,,AAC,11,3
17,South Fla. ,13,50,451.6,2023,32,23,182.8,31,11,27,268.8,115,57,432.5,47,26,143.7,129,29,288.8,38,10,10,3,121,97,7.46,120,65.54,103,28:34,,AAC,7,6
18,UAB ,12,46,450.0,2023,60,24,161.1,18,13,22,288.9,118,57,435.0,123,31,197.1,88,24,237.9,54,11,7,1,100,80,6.67,82,56.25,84,29:10,,AAC,4,8
19,Tennessee ,13,45,448.1,2023,9,23,204.8,50,5,22,243.2,32,30,335.2,19,13,113.7,64,15,221.5,23,6,7,6,126,101,7.77,122,67.92,130,24:35,,SEC,9,4
20,Arizona ,13,53,448.0,2023,85,17,139.7,8,11,36,308.3,48,34,357.9,25,19,118.2,90,15,239.7,30,10,3,5,85,82,6.31,72,53.00,51,30:35,,Pac-12,10,3
21,Kansas ,13,56,446.1,2023,8,32,206.0,54,11,24,240.1,62,42,378.2,88,26,161.5,56,16,216.7,61,4,6,1,48,73,5.62,89,56.92,48,30:39,,Big 12,9,4
22,App State ,14,57,445.6,2023,49,23,172.0,27,10,34,273.6,63,48,378.7,110,28,178.4,29,15,200.3,43,10,12,3,15,63,4.50,19,41.57,50,30:35,,Sun Belt,9,5
23,Kansas St. ,13,62,445.2,2023,11,32,204.1,53,10,30,241.2,57,32,372.5,54,15,147.5,68,16,225.1,5,10,2,11,23,63,4.85,31,43.69,25,31:41,,Big 12,9,4
24,South Alabama ,13,56,440.2,2023,49,28,172.0,32,11,28,268.2,15,34,313.2,19,11,113.7,28,19,199.5,47,9,9,2,104,88,6.77,99,58.85,52,30:32,,Sun Belt,7,6
25,Utah St. ,13,53,438.6,2023,30,18,184.4,43,19,35,254.2,117,59,433.1,126,31,213.5,60,27,219.6,99,10,6,-5,121,97,7.46,127,70.85,127,26:51,,Mountain West,6,7
26,Boise St. ,14,54,436.1,2023,6,34,214.9,65,13,20,221.3,71,45,385.1,38,23,134.8,107,19,250.4,86,8,9,-3,6,52,3.71,6,32.00,35,31:14,,Mountain West,8,6
27,West Virginia ,13,50,434.6,2023,3,32,228.9,89,7,18,205.7,66,44,380.8,46,15,143.4,85,26,237.4,47,5,7,2,34,67,5.15,45,46.38,9,32:41,,Big 12,9,4
28,Missouri ,13,48,434.3,2023,47,25,172.5,37,7,23,261.8,33,31,335.5,30,8,122.2,47,22,213.2,10,10,2,10,114,93,7.15,75,54.54,56,30:25,,SEC,11,2
29,Notre Dame ,13,59,432.2,2023,27,28,185.7,48,9,31,246.5,5,23,276.3,26,14,119.0,3,8,157.3,20,8,8,7,38,69,5.31,49,47.92,49,30:36,,FBS Independent,10,3
30,Oklahoma St. ,14,47,431.8,2023,67,29,155.3,25,16,18,276.5,122,52,441.8,96,23,166.8,123,27,275.0,53,10,5,2,28,70,5.00,18,41.36,68,29:43,,Big 12,10,4
31,Miami (FL) ,13,47,431.2,2023,44,24,173.2,42,14,23,258.0,24,35,321.6,11,18,105.6,55,16,216.0,95,6,8,-4,71,79,6.08,92,57.77,26,31:39,,ACC,7,6
32,UCLA ,13,45,427.1,2023,16,21,197.9,59,14,24,229.2,10,25,301.5,2,5,80.8,61,16,220.8,47,9,8,2,112,92,7.08,94,58.08,91,29:01,,Pac-12,8,5
33,Cincinnati ,12,35,426.1,2023,5,14,217.1,87,11,21,209.0,93,46,402.8,108,24,176.9,69,20,225.8,96,5,6,-4,56,68,5.67,71,52.58,19,31:58,,Big 12,3,9
34,Georgia Tech ,13,51,424.6,2023,12,24,203.8,66,17,27,220.8,120,49,437.1,128,28,221.3,53,18,215.8,37,11,4,4,34,67,5.15,36,44.77,100,28:38,,ACC,7,6
35,Washington St. ,12,44,421.7,2023,126,17,84.8,4,9,27,336.8,78,43,389.4,67,26,150.8,89,14,238.6,111,7,12,-6,76,73,6.08,58,49.67,70,29:40,,Pac-12,5,7
36,UTSA ,13,52,421.6,2023,51,27,171.8,47,14,25,249.8,55,37,369.1,40,16,135.5,79,19,233.6,99,7,8,-5,48,73,5.62,65,51.23,62,30:08,,AAC,9,4
37,Ga. Southern ,13,42,419.5,2023,106,16,117.2,13,20,26,302.2,88,51,395.9,86,30,161.4,80,20,234.5,124,8,11,-10,66,76,5.85,68,51.77,40,31:08,,Sun Belt,6,7
38,Troy ,14,48,419.4,2023,73,19,153.4,33,6,29,266.0,14,27,308.1,12,13,106.6,30,13,201.5,34,13,12,5,37,73,5.21,47,46.79,44,30:50,,Sun Belt,11,3
39,Toledo ,14,57,419.2,2023,15,31,198.6,67,10,26,220.6,27,33,331.8,61,18,148.8,16,12,183.0,86,7,11,-3,98,93,6.64,113,61.79,120,27:37,,MAC,11,3
40,Coastal Carolina ,13,41,416.2,2023,69,17,154.6,38,9,24,261.6,64,38,379.5,97,15,167.8,44,21,211.8,23,9,8,6,48,73,5.62,91,57.62,22,31:50,,Sun Belt,8,5
41,Louisville ,14,53,415.1,2023,37,31,178.5,56,12,22,236.6,21,38,317.1,9,13,99.8,57,22,217.3,65,7,7,1,46,78,5.57,54,48.64,17,32:13,,ACC,10,4
42,UNLV ,14,56,412.7,2023,43,39,173.5,55,12,17,239.2,103,50,415.5,89,23,161.8,111,26,253.7,17,10,7,8,107,96,6.86,113,61.79,114,28:02,,Mountain West,9,5
43,New Mexico St. ,15,50,412.4,2023,14,22,198.7,80,10,28,213.7,83,42,392.4,48,22,143.7,104,19,248.7,77,6,5,-2,92,97,6.47,111,61.20,34,31:15,,CUSA,10,5
44,New Mexico ,12,43,410.6,2023,18,26,192.7,72,10,17,217.9,99,51,408.2,103,25,172.2,83,24,236.0,117,4,5,-7,130,119,9.92,130,89.67,11,32:32,,Mountain West,4,8
45,Oregon St. ,13,52,409.2,2023,57,26,167.1,51,8,26,242.2,39,37,350.1,21,14,114.2,82,23,235.8,23,7,5,6,48,73,5.62,61,50.38,47,30:43,,Pac-12,8,5
46,Florida ,12,41,409.1,2023,77,21,149.8,40,5,20,259.3,69,40,382.3,79,21,155.6,70,18,226.7,101,4,7,-5,96,79,6.58,57,49.58,7,33:06,,SEC,5,7
47,Ohio St. ,13,46,407.9,2023,87,20,138.8,30,7,26,269.1,3,15,265.4,27,6,119.5,1,9,145.9,78,4,6,-2,60,74,5.69,35,44.54,78,29:25,,Big Ten,11,2
48,Texas A&M ,13,47,406.9,2023,90,23,136.2,29,10,24,270.8,19,34,316.2,13,9,108.8,37,19,207.4,78,4,5,-2,68,77,5.92,41,45.46,30,31:24,,SEC,7,6
49,San Jose St. ,13,52,403.5,2023,31,31,184.1,70,4,21,219.5,42,44,353.2,99,23,170.2,16,19,183.0,5,9,6,11,60,74,5.69,55,49.08,53,30:30,,Mountain West,7,6
50,Clemson ,13,44,402.7,2023,42,24,174.3,60,9,20,228.4,8,34,287.8,22,17,114.6,8,13,173.2,23,12,13,6,27,64,4.92,23,42.62,5,33:19,,ACC,9,4
51,Western Ky. ,13,50,401.8,2023,117,12,105.4,15,14,38,296.4,108,49,419.7,120,24,190.0,76,20,229.7,38,11,9,3,17,59,4.54,11,36.77,81,29:16,,CUSA,8,5
52,Florida St. ,14,57,401.6,2023,76,32,150.2,45,4,25,251.4,28,32,331.9,70,17,152.2,11,12,179.7,17,7,5,8,70,85,6.07,87,56.57,79,29:24,,ACC,13,1
53,Penn St. ,13,56,399.8,2023,28,26,184.8,77,2,30,215.0,2,20,247.6,1,10,75.5,7,10,172.1,2,12,6,16,28,65,5.00,30,43.31,12,32:32,,Big Ten,10,3
54,Colorado St. ,12,34,398.7,2023,123,10,92.2,9,18,24,306.5,104,41,415.9,95,18,166.3,106,20,249.7,101,11,7,-5,125,92,7.67,126,69.83,123,27:13,,Mountain West,5,7
55,Georgia St. ,13,45,393.3,2023,25,25,188.1,91,7,20,205.2,113,51,425.3,50,18,145.8,125,30,279.5,47,6,8,2,88,83,6.38,90,57.54,72,29:36,,Sun Belt,7,6
56,Alabama ,14,55,393.1,2023,46,32,172.6,68,6,23,220.4,18,32,316.0,31,15,124.9,24,17,191.1,17,7,5,8,46,78,5.57,47,46.79,46,30:44,,SEC,12,2
57,Louisiana ,13,48,392.4,2023,41,25,175.7,74,9,23,216.7,73,48,385.8,100,24,170.8,51,22,215.0,61,9,12,1,71,79,6.08,53,48.62,87,29:06,,Sun Belt,6,7
58,Virginia Tech ,13,43,391.5,2023,22,20,189.8,95,5,23,201.7,20,40,316.8,57,21,148.0,4,16,168.8,61,9,10,1,85,82,6.31,93,57.85,38,31:10,,ACC,7,6
59,Middle Tenn. ,12,36,391.1,2023,97,13,125.1,33,13,23,266.0,86,43,395.6,52,20,146.1,105,19,249.5,101,8,8,-5,102,81,6.75,82,56.25,106,28:32,,CUSA,4,8
60,Illinois ,12,35,391.0,2023,96,12,126.4,35,13,23,264.6,61,43,377.3,63,19,149.2,71,22,228.1,119,8,10,-8,96,79,6.58,116,62.42,107,28:25,,Big Ten,5,7
61,California ,13,48,390.9,2023,45,26,172.8,71,16,22,218.2,102,55,414.1,35,23,133.4,128,30,280.7,71,15,12,-1,48,73,5.62,40,45.23,99,28:40,,Pac-12,6,7
62,Fresno St. ,13,45,387.8,2023,116,16,105.5,20,12,29,282.2,56,37,370.8,94,16,166.2,35,19,204.7,13,6,2,9,13,58,4.46,15,40.15,75,29:28,,Mountain West,9,4
63,Maryland ,13,47,387.3,2023,114,20,108.4,21,13,27,278.9,30,34,334.1,32,14,125.5,38,17,208.6,38,7,8,3,45,72,5.54,86,56.54,112,28:12,,Big Ten,8,5
64,Texas Tech ,13,41,386.7,2023,59,17,162.7,63,18,24,224.0,79,39,389.5,84,19,160.4,74,16,229.2,110,4,5,-6,43,71,5.46,59,49.92,104,28:33,,Big 12,7,6
65,Tulsa ,12,33,385.4,2023,35,13,180.8,92,19,20,204.7,125,52,444.7,92,24,164.8,127,24,279.8,90,11,5,-3,32,61,5.08,28,43.25,69,29:40,,AAC,4,8
66,Louisiana Tech ,12,36,384.7,2023,99,20,123.8,39,11,16,260.9,107,53,418.2,129,32,232.8,19,18,185.3,121,4,7,-9,106,82,6.83,115,62.33,67,29:45,,CUSA,3,9
67,Michigan ,15,64,382.7,2023,54,40,169.1,81,5,24,213.7,1,17,247.0,5,9,90.0,2,8,157.0,1,9,3,19,1,45,3.00,3,27.47,16,32:14,,Big Ten,15,0
68,Boston College ,13,40,381.2,2023,13,25,198.8,108,14,15,182.5,70,49,385.1,118,30,187.9,26,19,197.2,78,9,5,-2,94,85,6.54,78,55.15,37,31:11,,ACC,7,6
69,Wisconsin ,13,36,381.2,2023,61,22,161.0,69,5,14,220.2,38,33,344.0,39,13,135.1,39,19,208.9,66,4,12,0,48,73,5.62,50,48.08,80,29:17,,Big Ten,7,6
70,Purdue ,12,35,380.3,2023,53,20,169.1,84,10,15,211.2,67,45,382.1,43,22,140.6,95,21,241.5,66,8,8,0,69,72,6.00,84,56.33,55,30:26,,Big Ten,4,8
71,Baylor ,12,28,377.8,2023,109,13,114.8,36,7,15,263.0,110,52,421.3,115,27,184.9,84,22,236.4,54,9,8,1,10,49,4.08,4,28.92,24,31:42,,Big 12,3,9
72,Arkansas St. ,13,37,373.6,2023,78,20,147.6,62,9,17,226.0,124,49,443.6,113,22,184.2,119,25,259.4,38,8,4,3,77,80,6.15,108,60.92,128,26:17,,Sun Belt,6,7
73,Temple ,12,32,372.3,2023,121,9,95.7,24,16,23,276.7,121,54,441.6,124,25,198.3,97,27,243.3,130,2,9,-20,15,54,4.50,9,36.67,108,28:22,,AAC,3,9
74,Tulane ,14,41,370.1,2023,68,16,155.1,77,7,25,215.0,36,33,341.3,16,14,112.7,72,18,228.6,21,10,13,7,21,67,4.79,26,42.86,31,31:21,,AAC,11,3
75,NIU ,13,38,369.4,2023,36,23,179.6,103,9,15,189.8,23,33,319.5,60,20,148.4,6,13,171.2,88,5,9,-3,13,58,4.46,14,39.77,27,31:34,,MAC,7,6
76,Virginia ,12,31,368.8,2023,105,12,117.9,46,14,19,250.8,101,51,409.3,114,27,184.5,66,19,224.8,111,6,6,-6,93,78,6.50,79,55.25,29,31:25,,ACC,3,9
77,Air Force ,13,43,366.5,2023,2,36,281.5,130,6,7,85.0,6,30,277.7,6,11,90.8,20,18,186.8,88,4,11,-3,1,39,3.00,1,24.77,3,33:27,,Mountain West,9,4
78,Western Mich. ,12,34,365.0,2023,72,21,153.8,84,9,13,211.2,84,48,393.3,82,22,158.8,81,23,234.6,35,8,4,4,116,86,7.17,118,62.67,65,30:00,,MAC,4,8
79,Iowa St. ,13,39,364.9,2023,101,16,119.9,49,8,23,245.0,50,36,363.2,37,12,134.2,73,21,228.9,16,3,3,8,23,63,4.85,32,43.77,85,29:09,,Big 12,7,6
80,Colorado ,12,41,363.6,2023,130,12,68.9,16,4,29,294.7,127,56,453.3,107,24,176.4,124,28,276.9,12,10,7,9,129,107,8.92,129,71.17,121,27:33,,Pac-12,4,8
81,Rice ,13,50,362.9,2023,113,21,110.5,44,16,29,252.5,52,44,364.7,72,23,153.1,43,17,211.6,128,7,10,-14,60,74,5.69,52,48.31,18,32:06,,AAC,6,7
82,South Carolina ,12,38,362.4,2023,127,17,84.4,23,8,21,278.0,87,37,395.7,65,19,150.0,98,16,245.7,35,7,5,4,116,86,7.17,81,55.50,110,28:18,,SEC,5,7
83,UTEP ,12,29,362.0,2023,83,16,144.3,73,12,13,217.7,75,45,386.8,125,28,202.2,18,16,184.7,111,6,6,-6,110,84,7.00,104,60.08,28,31:26,,CUSA,3,9
84,Houston ,12,34,360.2,2023,102,10,118.7,52,13,24,241.5,112,50,423.9,98,27,168.6,114,21,255.3,74,5,2,-1,56,68,5.67,56,49.17,115,27:59,,Big 12,4,8
85,Marshall ,13,33,358.5,2023,93,21,132.3,61,18,12,226.2,60,45,376.5,78,20,155.5,62,23,221.0,126,5,11,-11,90,84,6.46,96,58.23,76,29:26,,Sun Belt,6,7
86,Massachusetts ,12,33,356.3,2023,84,19,142.2,79,11,14,214.1,114,61,427.0,127,30,220.8,36,24,206.2,74,8,6,-1,128,96,8.00,128,70.92,73,29:33,,FBS Independent,3,9
87,Southern Miss. ,12,31,353.4,2023,58,16,162.8,101,8,15,190.7,109,56,420.8,111,28,178.8,96,23,242.0,46,8,7,2,82,75,6.25,51,48.17,6,33:12,,Sun Belt,3,9
88,Hawaii ,13,33,352.5,2023,129,6,76.1,26,15,27,276.4,72,53,385.3,102,26,170.9,49,24,214.4,124,6,8,-10,77,80,6.15,85,56.38,71,29:38,,Mountain West,5,8
89,Stanford ,12,26,351.6,2023,103,15,118.6,57,10,11,233.0,129,63,461.7,91,29,163.7,130,32,298.0,90,3,4,-3,89,77,6.42,101,59.08,32,31:17,,Pac-12,3,9
90,Auburn ,13,40,351.2,2023,23,22,189.0,121,13,18,162.2,45,36,357.2,76,15,155.0,31,19,202.2,78,6,7,-2,43,71,5.46,33,43.85,86,29:09,,SEC,6,7
91,NC State ,13,38,350.4,2023,66,19,156.5,100,12,19,193.9,29,34,332.1,23,13,116.5,52,20,215.6,13,7,3,9,63,75,5.77,44,46.31,13,32:27,,ACC,9,4
92,Utah ,13,34,348.4,2023,33,19,182.5,117,11,15,165.8,13,32,307.2,4,13,82.8,65,17,224.4,47,7,2,2,28,65,5.00,21,41.62,1,34:04,,Pac-12,8,5
93,Old Dominion ,13,35,348.2,2023,74,15,153.4,99,11,20,194.8,82,43,392.2,44,13,141.7,108,28,250.5,38,10,7,3,90,84,6.46,110,61.08,129,24:49,,Sun Belt,6,7
94,Duke ,13,40,348.1,2023,56,26,167.2,110,8,14,180.8,41,27,352.7,45,15,141.9,41,11,210.8,66,5,7,0,48,73,5.62,37,44.85,92,29:00,,ACC,8,5
95,Ohio ,13,34,348.0,2023,82,18,144.4,93,9,16,203.6,4,24,273.9,7,9,91.2,14,14,182.8,10,8,4,10,48,73,5.62,68,51.77,4,33:25,,MAC,10,3
96,Central Mich. ,12,36,344.1,2023,62,21,159.4,107,11,15,184.7,98,47,407.1,83,24,159.8,102,20,247.3,119,3,5,-8,100,80,6.67,95,58.08,61,30:13,,MAC,5,7
97,Syracuse ,13,37,343.3,2023,48,20,172.3,114,15,17,171.0,65,39,380.5,59,16,148.2,78,21,232.4,78,13,9,-2,119,95,7.31,112,61.62,111,28:18,,ACC,6,7
98,Kentucky ,13,43,339.5,2023,95,18,127.8,83,12,25,211.6,43,39,353.5,17,19,113.1,92,20,240.5,78,7,8,-2,71,79,6.08,64,50.85,118,27:37,,SEC,7,6
99,Indiana ,12,31,332.8,2023,100,13,120.1,82,10,18,212.8,85,45,394.1,80,18,156.3,86,25,237.8,101,3,8,-5,41,65,5.42,62,50.58,77,29:26,,Big Ten,3,9
100,Fla. Atlantic ,12,35,330.8,2023,108,16,115.3,76,15,19,215.5,90,37,397.3,64,12,149.3,103,23,248.1,54,8,2,1,4,41,3.42,7,33.33,125,27:05,,AAC,4,8
101,Mississippi St. ,12,27,328.6,2023,79,12,146.8,109,10,15,181.8,40,39,350.6,51,14,145.9,34,21,204.7,85,5,4,-2,82,75,6.25,88,56.83,96,28:44,,SEC,5,7
102,Wake Forest ,12,27,327.8,2023,94,13,130.4,98,11,14,197.3,74,40,386.7,73,13,154.3,77,24,232.3,111,8,11,-6,10,49,4.08,12,38.83,88,29:05,,ACC,4,8
103,Wyoming ,13,39,327.0,2023,63,19,158.5,115,6,20,168.5,47,32,357.8,49,12,144.5,47,18,213.2,5,11,5,11,7,51,3.92,8,33.38,60,30:14,,Mountain West,9,4
104,UConn ,12,27,326.9,2023,89,15,136.6,102,7,12,190.3,95,46,406.5,55,22,147.7,118,19,258.8,96,7,10,-4,79,74,6.17,77,55.00,33,31:16,,FBS Independent,3,9
105,Arkansas ,12,31,326.5,2023,86,9,139.0,105,8,22,187.5,46,40,357.2,74,13,154.4,32,23,202.8,74,5,10,-1,87,76,6.33,80,55.42,45,30:44,,SEC,4,8
106,Bowling Green ,13,39,326.3,2023,88,22,137.5,104,14,17,188.8,25,40,326.1,53,16,146.2,12,21,179.8,13,11,5,9,109,90,6.92,108,60.92,54,30:27,,MAC,7,6
107,San Diego St. ,12,26,326.0,2023,71,16,154.3,113,10,10,171.8,97,38,406.9,93,21,165.8,93,16,241.2,54,6,7,1,25,59,4.92,34,44.00,10,32:40,,Mountain West,4,8
108,Miami (OH) ,14,39,323.5,2023,64,23,158.1,118,7,16,165.4,26,25,330.4,34,12,132.2,27,12,198.1,66,6,10,0,19,66,4.71,13,39.07,66,29:46,,MAC,11,3
109,Arizona St. ,12,25,322.3,2023,111,17,111.9,86,14,8,210.3,89,46,396.8,36,16,133.5,120,28,263.3,127,4,6,-11,56,68,5.67,66,51.42,58,30:17,,Pac-12,3,9
110,ULM ,12,22,320.9,2023,80,7,146.1,112,13,15,174.8,126,52,445.8,101,21,170.9,122,28,274.9,54,8,5,1,67,71,5.92,73,53.58,124,27:13,,Sun Belt,2,10
111,FIU ,12,29,319.6,2023,124,17,90.3,58,12,12,229.3,119,46,436.7,121,17,190.8,99,26,245.8,121,6,9,-9,64,70,5.83,62,50.58,126,27:05,,CUSA,4,8
112,Vanderbilt ,12,33,318.9,2023,122,10,95.3,64,12,23,223.7,128,54,454.9,104,23,175.3,126,26,279.6,90,4,7,-3,25,59,4.92,22,42.50,97,28:44,,SEC,2,10
113,Buffalo ,12,29,318.8,2023,92,15,133.6,106,11,14,185.2,53,40,367.1,112,19,179.9,21,18,187.2,54,8,7,1,22,58,4.83,20,41.58,59,30:15,,MAC,3,9
114,Pittsburgh ,12,27,317.9,2023,120,10,101.9,75,12,17,216.0,49,41,361.6,66,20,150.2,42,16,211.4,101,6,9,-5,127,94,7.83,119,64.42,119,27:37,,ACC,3,9
115,Charlotte ,12,23,312.8,2023,81,16,145.0,116,16,7,167.8,59,40,374.2,87,19,161.5,45,20,212.7,101,6,6,-5,113,85,7.08,102,59.33,15,32:19,,AAC,3,9
115,Nebraska ,12,26,312.8,2023,38,16,176.8,126,16,10,135.9,11,24,303.5,8,9,92.9,40,14,210.6,129,5,15,-17,32,61,5.08,25,42.75,43,30:54,,Big Ten,5,7
117,Army West Point ,12,26,310.8,2023,7,19,208.0,129,11,7,102.8,51,31,364.2,106,15,176.3,23,16,187.9,90,10,11,-3,8,48,4.00,9,36.67,14,32:22,,FBS Independent,6,6
118,BYU ,12,32,309.8,2023,118,15,104.3,90,9,17,205.4,106,45,417.7,109,18,177.7,91,21,240.0,54,6,10,1,40,64,5.33,27,43.00,109,28:19,,Big 12,5,7
119,Ball St. ,12,24,308.1,2023,52,15,171.5,125,9,9,136.6,17,35,315.8,14,15,111.6,33,17,204.3,101,6,7,-5,36,62,5.17,39,45.17,21,31:51,,MAC,4,8
120,Rutgers ,13,34,306.2,2023,55,24,168.7,124,8,10,137.5,16,35,313.5,41,16,137.2,10,16,176.3,30,9,5,5,31,66,5.08,38,45.15,23,31:47,,Big Ten,7,6
121,Northwestern ,13,34,303.9,2023,119,14,101.9,94,8,20,202.0,35,36,340.8,81,20,157.8,15,15,182.9,3,9,1,13,38,69,5.31,23,42.62,101,28:37,,Big Ten,8,5
122,Minnesota ,13,29,300.9,2023,65,13,157.5,123,11,16,143.4,54,44,368.4,62,19,149.1,59,23,219.3,47,7,6,2,1,39,3.00,2,27.08,20,31:52,,Big Ten,6,7
123,Navy ,12,26,300.3,2023,17,16,194.6,128,5,10,105.7,44,35,353.7,33,12,128.8,67,18,224.8,4,14,8,11,56,68,5.67,42,46.00,42,30:55,,AAC,5,7
124,Nevada ,12,20,300.0,2023,98,14,124.8,111,12,6,175.2,123,50,441.8,117,23,187.8,112,24,254.1,96,7,8,-4,102,81,6.75,98,58.50,57,30:20,,Mountain West,2,10
125,Michigan St. ,12,21,289.3,2023,125,7,89.5,96,13,14,199.8,76,42,388.8,68,14,151.0,86,24,237.8,111,7,9,-6,110,84,7.00,107,60.67,113,28:08,,Big Ten,4,8
126,Akron ,12,22,278.6,2023,128,12,81.0,97,15,10,197.6,31,43,335.0,56,23,147.8,22,19,187.3,121,6,6,-9,108,83,6.92,104,60.08,74,29:33,,MAC,2,10
127,East Carolina ,12,19,277.3,2023,110,12,113.3,120,14,7,163.9,37,33,341.3,29,13,122.2,58,19,219.2,101,10,7,-5,64,70,5.83,76,54.83,98,28:41,,AAC,2,10
128,Kent St. ,12,19,270.4,2023,115,8,105.9,119,6,11,164.5,80,55,390.6,105,31,176.1,50,21,214.5,90,3,6,-3,41,65,5.42,43,46.17,95,28:48,,MAC,1,11
