Offensive Rank,Team,G,Offense TDs,Total Offense YPG,Season,Rushing Rank,Rushing TDs,Rush YPG,Passing Rank,Int,Passing TDs,Pass YPG,Defensive Rank,Opp TDs,Total Defense YPG,Rushing Defensive Rank,Opp Rush TDs,Opp Rush YPG,Passing Defensive Rank,Opp Pass TDs,Opp Pass YPG,TM Rank,Fumbles Recovered,Fumbles Lost,Turnover Margin,PPG Rank,Penalties,Penalties Per Game,Penalty YPG Rank,Penalty YPG,TOP Rank,Avg Time of Possession,ATP Rank,Conference,Wins,Losses
30,Ohio St. ,16,71,429.4,2024,58,34,166.4,29,10,37,263.0,1,24,254.6,3,13,87.6,3,10,167.0,50,9,6,3,13,72,4.50,16,40.81,58,30:18,,Big Ten,14,2
31,Kansas St. ,13,46,426.8,2024,11,21,215.5,85,10,25,211.4,43,37,343.4,28,15,118.7,77,20,224.7,65,5,6,-1,48,71,5.46,37,45.69,90,29:10,,Big 12,9,4
31,TCU ,13,55,426.8,2024,112,26,113.9,8,11,29,312.9,45,39,345.6,83,21,160.5,23,14,185.2,103,6,11,-6,57,73,5.62,78,53.15,105,28:33,,Big 12,9,4
33,App State ,11,36,426.8,2024,77,13,153.8,19,16,23,273.0,104,46,412.5,117,24,197.6,59,20,214.8,124,9,6,-9,74,66,6.00,89,56.91,66,30:07,,Sun Belt,5,6
34,Indiana ,13,70,426.4,2024,63,37,165.1,34,6,33,261.3,2,24,256.3,1,12,80.2,10,11,176.1,3,9,3,15,17,62,4.77,28,43.92,47,30:42,,Big Ten,11,2
35,Georgia Tech ,13,46,424.5,2024,32,29,187.0,54,7,17,237.5,42,43,342.8,30,15,122.2,69,24,220.7,55,6,3,1,42,70,5.38,24,43.31,45,30:50,,ACC,7,6
36,Cincinnati ,12,37,420.6,2024,36,19,184.1,55,7,18,236.5,85,34,385.4,88,15,162.7,73,16,222.8,92,9,11,-4,41,64,5.33,29,44.42,27,31:43,,Big 12,5,7
37,Kansas ,12,44,420.2,2024,13,29,211.4,90,12,15,208.8,92,37,392.6,75,10,153.5,103,25,239.1,61,5,5,0,13,54,4.50,12,38.67,38,31:04,,Big 12,5,7
38,Liberty ,12,44,418.5,2024,4,28,250.7,123,7,16,167.8,48,33,350.4,76,21,154.1,35,11,196.3,86,7,11,-3,101,82,6.83,116,66.08,48,30:38,,CUSA,8,4
39,Iowa St. ,14,52,416.2,2024,70,27,160.5,39,10,25,255.7,51,41,353.9,109,19,188.4,1,18,165.6,22,9,5,9,4,53,3.79,1,28.00,18,31:59,,Big 12,11,3
40,UNLV ,14,54,416.1,2024,7,29,243.5,121,6,25,172.6,49,38,350.9,23,17,115.0,99,20,235.9,6,6,3,14,53,78,5.57,55,49.21,62,30:12,,Mountain West,11,3
