Team,Win %,MOV,ATS +/-,Season,Wins,Losses
Florida Intl,8.3,-19.3,-12.2,2021,1,11
Florida Intl,33.3,0.6,2.4,2024,4,8
Florida Intl,33.3,-11.8,-4.2,2023,4,8
Florida Intl,33.3,-18.6,-3.7,2022,4,8
Florida St,76.9,15.5,4.7,2022,10,3
Florida St,16.7,-12.6,-10.8,2024,2,10
Florida St,92.9,15.3,1.0,2023,13,1
Florida St,41.7,1.1,-0.5,2021,5,7
Fresno St,46.2,1.2,-2.5,2024,6,7
Fresno St,71.4,11.1,1.6,2022,10,4
Fresno St,76.9,12.8,2.9,2021,10,3
Fresno St,69.2,7.0,-2.8,2023,9,4
GA Southern,61.5,0.4,2.5,2024,8,5
GA Southern,46.2,-0.3,-3.3,2023,6,7
GA Southern,46.2,1.1,3.1,2022,6,7
GA Southern,25.0,-11.2,-3.5,2021,3,9
GA Tech,25.0,-9.5,-3.6,2021,3,9
GA Tech,53.9,1.6,3.8,2023,7,6
GA Tech,41.7,-11.3,0.7,2022,5,7
GA Tech,53.9,3.3,1.7,2024,7,6
Georgia,92.9,24.5,1.5,2023,13,1
Georgia,93.3,28.4,7.3,2021,14,1
Georgia,100.0,26.8,1.6,2022,15,0
Georgia,78.6,10.9,-4.7,2024,11,3
Georgia St,25.0,-10.0,-4.3,2024,3,9
Georgia St,61.5,1.1,2.9,2021,8,5
Georgia St,33.3,-1.2,0.5,2022,4,8
Georgia St,53.9,-2.8,-1.4,2023,7,6
Hawaii,46.2,-2.6,-0.7,2021,6,7
Hawaii,41.7,-3.7,-0.9,2024,5,7
Hawaii,23.1,-14.9,-0.5,2022,3,10
Hawaii,38.5,-10.8,-2.1,2023,5,8
Houston,33.3,-8.9,-0.9,2024,4,8
Houston,33.3,-7.8,-2.4,2023,4,8
Houston,85.7,15.4,4.1,2021,12,2
Houston,61.5,3.9,-2.1,2022,8,5
Illinois,41.7,-1.8,4.8,2021,5,7
Illinois,61.5,11.5,7.3,2022,8,5
Illinois,76.9,6.6,6.1,2024,10,3
Illinois,41.7,-4.9,-4.9,2023,5,7
Indiana,84.6,25.7,12.8,2024,11,2
Indiana,16.7,-16.0,-12.1,2021,2,10
Indiana,25.0,-7.8,-0.1,2023,3,9
Indiana,33.3,-10.7,-2.0,2022,4,8
Iowa,71.4,4.2,-0.8,2021,10,4
Iowa,61.5,9.8,4.1,2024,8,5
Iowa,71.4,0.6,-1.5,2023,10,4
Iowa,61.5,4.4,2.7,2022,8,5
Iowa St,78.6,8.1,-0.5,2024,11,3
Iowa St,53.9,3.5,4.5,2023,7,6
Iowa St,53.9,10.8,-1.3,2021,7,6
Iowa St,33.3,-0.1,-3.5,2022,4,8
James Mad,72.7,16.1,5.0,2022,8,3
James Mad,84.6,14.6,4.7,2023,11,2
James Mad,69.2,12.8,1.7,2024,9,4
Jksnville St,69.2,9.0,8.1,2023,9,4
Jksnville St,50.0,-14.0,8.3,2021,1,1
Jksnville St,64.3,9.9,5.2,2024,9,5
Jksnville St,0.0,-37.0,-24.5,2022,0,1
Kansas,41.7,3.7,-0.6,2024,5,7
Kansas,46.2,0.2,3.2,2022,6,7
Kansas,69.2,8.2,3.6,2023,9,4
Kansas,16.7,-21.4,0.3,2021,2,10
Kansas St,71.4,10.4,7.0,2022,10,4
Kansas St,61.5,6.5,3.7,2021,8,5
Kansas St,69.2,7.5,-1.5,2024,9,4
Kansas St,69.2,16.1,6.6,2023,9,4
Kennesaw St,16.7,-14.7,0.2,2024,2,10
Kennesaw St,0.0,-3.0,13.0,2023,0,1
Kennesaw St,0.0,-53.0,-24.5,2022,0,1
Kennesaw St,0.0,-28.0,-8.0,2021,0,1
Kent St,8.3,-19.9,-5.2,2023,1,11
